Profile [m],Longitude [degrees_east],Latitude [degrees_north],Bed [m],Surface [m],Ice Thickness [m]
41861.46,-48.902542,69.17586,-1291.0,886.0,2177.0
41960.953,-48.900097,69.17604,-1293.0,886.0,2179.0
42060.445,-48.89765,69.17623,-1281.0,887.0,2168.0
42159.934,-48.895206,69.176414,-1267.0,888.0,2156.0
42259.426,-48.892765,69.176605,-1252.0,889.0,2142.0
42358.918,-48.89032,69.17679,-1239.0,891.0,2130.0
42458.41,-48.887875,69.17698,-1229.0,892.0,2122.0
42557.902,-48.88543,69.17716,-1223.0,893.0,2116.0
42657.395,-48.882984,69.17735,-1202.0,896.0,2099.0
42756.883,-48.88054,69.177536,-1181.0,898.0,2080.0
42856.375,-48.878098,69.17773,-1163.0,899.0,2062.0
42955.867,-48.875652,69.17791,-1161.0,900.0,2061.0
43055.36,-48.873207,69.1781,-1162.0,901.0,2063.0
43154.85,-48.87076,69.17828,-1160.0,903.0,2063.0
43254.34,-48.868317,69.178474,-1153.0,905.0,2059.0
43353.832,-48.86587,69.17866,-1153.0,908.0,2061.0
43453.324,-48.863426,69.17885,-1170.0,910.0,2081.0
43552.816,-48.86098,69.17903,-1184.0,913.0,2097.0
43652.31,-48.858536,69.179214,-1194.0,916.0,2110.0
43751.797,-48.85609,69.179405,-1193.0,919.0,2112.0
43851.29,-48.853645,69.17959,-1195.0,920.0,2116.0
43950.78,-48.8512,69.17978,-1200.0,922.0,2122.0
44050.273,-48.848755,69.17996,-1210.0,925.0,2136.0
44149.766,-48.84631,69.18015,-1204.0,928.0,2133.0
44249.258,-48.843864,69.180336,-1194.0,931.0,2125.0
44348.746,-48.84142,69.18052,-1189.0,933.0,2122.0
44448.24,-48.838974,69.18071,-1189.0,935.0,2125.0
44547.73,-48.83653,69.18089,-1195.0,937.0,2132.0
